Ros Timestamp,latitude,longitude,seaHeight,geoidHeight,positionDilutionOfPrecision,horizontalDilutionOfPrecision,verticalDilutionOfPrecision,magneticVariation,trueCourseOverGround,magneticCourseOverGround,speedOverGround,estimatedHorizontalPosError,estimatedVerticalPosError,estimatedPosError,trueEstVelocity,trueNorthVelocity,upVelocity,gpsQuality,nbSat,gsaModeAuto,fixType,utcHour,utcMin,utcSec,validPosition,utcDay,utcMounth,utcYear,mode,prn0,prn1,prn2,prn3,prn4,prn5,prn6,prn7,prn8,prn9,prn10,prn11
1458305443017837813,48.668817,6.154758,nan,nan,nan,nan,nan,-1.100000,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,1,1,0,1,48,0,22,8,99,78,0,0,0,0,0,0,0,0,0,0,0,0
1458305444018045028,48.668817,6.154758,nan,nan,nan,nan,nan,-1.100000,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,1,1,0,1,49,0,22,8,99,78,0,0,0,0,0,0,0,0,0,0,0,0
1458305445018309192,48.668817,6.154758,nan,nan,nan,nan,nan,-1.100000,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,1,1,0,1,50,0,22,8,99,78,0,0,0,0,0,0,0,0,0,0,0,0
1458305446018557287,48.668817,6.154758,nan,nan,nan,nan,nan,-1.100000,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,1,1,0,1,51,0,22,8,99,78,0,0,0,0,0,0,0,0,0,0,0,0
1458305447035579205,48.668817,6.154758,nan,nan,nan,nan,nan,-1.100000,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,1,1,0,1,52,0,22,8,99,78,0,0,0,0,0,0,0,0,0,0,0,0
1458305448017937028,48.668817,6.154758,nan,nan,nan,nan,nan,-1.100000,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,1,1,0,1,53,0,22,8,99,78,0,0,0,0,0,0,0,0,0,0,0,0
1458305449018300251,48.668817,6.154758,nan,nan,nan,nan,nan,-1.100000,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,1,1,0,1,54,0,22,8,99,78,0,0,0,0,0,0,0,0,0,0,0,0
1458305450018166025,48.668817,6.154758,nan,nan,nan,nan,nan,-1.100000,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,1,1,0,1,55,0,22,8,99,78,0,0,0,0,0,0,0,0,0,0,0,0
1458305451018611432,48.668817,6.154758,nan,nan,nan,nan,nan,-1.100000,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,1,1,0,1,56,0,22,8,99,78,0,0,0,0,0,0,0,0,0,0,0,0
1458305452035676252,48.668817,6.154758,nan,nan,nan,nan,nan,-1.100000,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,1,1,0,1,57,0,22,8,99,78,0,0,0,0,0,0,0,0,0,0,0,0
1458305453017202551,48.668817,6.154758,nan,nan,nan,nan,nan,-1.100000,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,1,1,0,1,58,0,22,8,99,78,0,0,0,0,0,0,0,0,0,0,0,0
1458305454017161845,48.668817,6.154758,nan,nan,nan,nan,nan,-1.100000,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,1,1,0,1,59,0,22,8,99,78,0,0,0,0,0,0,0,0,0,0,0,0
